"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 12:45:16 GMT 2025","Tue Jun 10 12:45:24 GMT 2025","7938","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoadInventoryForPerformanceGlitchUser","ShouldLoadInventoryForPerformanceGlitchUser (Edge)","Verifies that the performance_glitch_user can log in and the inventory page loads, albeit slowly."
"passed","Tue Jun 10 12:45:18 GMT 2025","Tue Jun 10 12:45:23 GMT 2025","4916","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoginSuccessfullyWithStandardUserAndSortProducts","ShouldLoginSuccessfullyWithStandardUserAndSortProducts (Chrome)","Verifies user login with the standard_user, using the Click action and then sorts products by all available options."
"passed","Tue Jun 10 12:45:35 GMT 2025","Tue Jun 10 12:45:43 GMT 2025","7954","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldNotLoginSuccessfullyWithLockedOutUser","ShouldNotLoginSuccessfullyWithLockedOutUser (Firefox)","Verifies user login with the locked_out_user, using the Submit action."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldExhibitExpectedCartErrorsForErrorUser","ShouldExhibitExpectedCartErrorsForErrorUser","Verifies that the error_user encounters specific, expected cart interaction failures that may differ by browser."
"passed","Tue Jun 10 12:44:59 GMT 2025","Tue Jun 10 12:45:02 GMT 2025","3070","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDetectVisualAnomaliesForVisualUser","ShouldDetectVisualAnomaliesForVisualUser (Chrome)","Verifies the visual appearance of the inventory page when logged in as the visual_user, checking for known or unexpected visual discrepancies."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplaySameImageForAllProductsForProblemUser","ShouldDisplaySameImageForAllProductsForProblemUser","Verifies that when logged in as problem_user, all product images on the inventory page are identical."
"passed","Tue Jun 10 12:45:15 GMT 2025","Tue Jun 10 12:45:19 GMT 2025","4019","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldExhibitExpectedCartErrorsForErrorUser","ShouldExhibitExpectedCartErrorsForErrorUser (Firefox)","Verifies that the error_user encounters specific, expected cart interaction failures that may differ by browser."
"passed","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:45:01 GMT 2025","7737","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser (Firefox)","Verifies the full add-to-cart and remove-from-cart flow for a standard user."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","2","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoadInventoryForPerformanceGlitchUser","ShouldLoadInventoryForPerformanceGlitchUser","Verifies that the performance_glitch_user can log in and the inventory page loads, albeit slowly."
"passed","Tue Jun 10 12:45:28 GMT 2025","Tue Jun 10 12:45:35 GMT 2025","7617","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldLoginSuccessfullyWithStandardUserAndSortProducts","ShouldLoginSuccessfullyWithStandardUserAndSortProducts (Firefox)","Verifies user login with the standard_user, using the Click action and then sorts products by all available options."
"passed","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:59 GMT 2025","5989","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser","ShouldAddAndRemoveItemsFromCartSuccessfullyForStandardUser (Chrome)","Verifies the full add-to-cart and remove-from-cart flow for a standard user."
"passed","Tue Jun 10 12:45:23 GMT 2025","Tue Jun 10 12:45:29 GMT 2025","6486","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldNotLoginSuccessfullyWithLockedOutUser","ShouldNotLoginSuccessfullyWithLockedOutUser (Chrome)","Verifies user login with the locked_out_user, using the Submit action."
"passed","Tue Jun 10 12:45:05 GMT 2025","Tue Jun 10 12:45:12 GMT 2025","6190","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser","ShouldDisplayCorrectConfirmationAndReturnHomeForStandardUser (Firefox)","Verifies the order completion page details and successful return to inventory with an empty cart."
"skipped","Tue Jun 10 12:44:53 GMT 2025","Tue Jun 10 12:44:53 GMT 2025","1","","SauceDemo Login and Inventory Tests","","SauceDemoTests","ShouldNotLoginSuccessfullyWithLockedOutUser","ShouldNotLoginSuccessfullyWithLockedOutUser","Verifies user login with the locked_out_user, using the Submit action."
